Column1,Column2,Column3,Column4,Column5,Column52,Column6,Column7,Column8,Column9,Column10,Column11
6,21 NA-G,159,CAR,Collin Olson,Wesley Myron,G,USA,6′ 3,197,USA U-18,USHL
6,178 NA,160,WPG,Ryan Olsen,Hunter Fejes,C,CAN,6′ 1,187,Saskatoon,WHL
6,139 NA,161,TBL,Jake Dotchin,Artur Gavrus,D,CAN,6′ 2,207,Owen Sound,OHL
6,NR,162,COL,Joseph Blandisi,Paul Ladue,C/RW,CAN,5′ 10,182,Owen Sound,OHL
6,7 EUR-G,163,BUF,Linus Ullmark,Gianluca Curcuruto,G,SWE,6′ 3,198,Modo Jr.,SWE-JR.
6,32 EUR,164,NSH,Simon Fernholm,Dmitry Sinitsyn,D,SWE,6′ 4,187,Huddinge Jr.,SWE-JR.
6,61 NA,165,CGY,Coda Gordon,Jake Bischoff,LW,CAN,6′ 0,176,Swift Current,WHL
6,15 NA-G,166,OTT,Francois Brassard,Matthew Deblouw,G,CAN,6′ 1,154,Quebec,QMJHL
6,86 NA,167,WSH,Riley Barber,Kenton Helgesen,RW,USA,5′ 11,194,USA U-18,USHL
6,170 NA,168,SJS,Clifford Watson,Louis Nanne,D,USA,6′ 1,188,Sioux City,USHL
6,115 NA,169,CHI,Vincent Hinostroza,Brendan Collier,C,USA,5′ 9,158,Waterloo,USHL
6,175 NA,170,DET,James de Haas,Colin Smith,D,CAN,6′ 2,197,Toronto Lakeshore,OJHL
6,45 NA,171,LAK,Tomas Hyka,Brady Austin,RW,CZE,5′ 10,160,Gatineau,QMJHL
6,NR,172,NSH,Max Gortz,Jonatan Nielsen,RW,SWE,6′ 2,196,Farjestad Jr.,SWE-JR.
6,137 NA,173,PIT,Anton Zlobin,Christian Djoos,RW,RUS,5′ 11,195,Shawinigan,QMJHL
6,56 NA,174,FLA,Francis Beauvillier,Mikael Wikstrand,C/LW,CAN,6′ 1,181,Rimouski,QMJHL
6,176 NA,175,BOS,Matt Benning,Jaynen Rissling,D,CAN,6′ 0,218,Spruce Grove,AJHL
6,46 EUR,176,STL,Petteri Lindbohm,Joakim Ryan,D,FIN,6′ 3,209,Jokerit Jr.,FINLAND-JR.
6,NR,177,VAN,Wesley Myron,Rasmus Bodin,LW,CAN,6′ 1,182,Victoria,BCHL
6,91 NA,178,PHX,Samuel Fejes,Valeri Vasiliev,LW,USA,6′ 1,190,Shattuck-St. Mary’s,HIGH-MN
6,NR,179,NSH,Marek Mazanec,Nikita Gusev,G,CZE,6′ 4,187,Plzen,CZREP
6,60 NA,180,NJD,Artur Gavrus,Judd Peterson,C/LW,BLR,5′ 9,175,Owen Sound,OHL
6,NR,181,LAK,Paul LaDue,Colton Hargrove,D,USA,6′ 1,186,Lincoln,USHL
7,160 NA,182,CBJ,Gianluca Curcuruto,Tyrel Seaman,D,CAN,6′ 0,195,Sault Ste. Marie,OHL
7,LV,183,DAL,Dmitry Sinitsyn,Matthew Beattie,D,RUS,6′ 2,200,U. Mass-Lowell,H-EAST
7,5 EUR-G,184,PHX,Marek Langhamer,Justin Hache,G,CZE,6′ 1,181,Pardubice Jr.,CZREP-JR.
7,147 NA,185,NYI,Jake Bischoff,Viktor Loov,D,USA,5′ 11,178,Grand Rapids,HIGH-MN
7,51 NA,186,CGY,Matthew Deblouw,Jaycob Megna,C,USA,6′ 0,179,Muskegon,USHL
7,64 NA,187,ANA,Kenton Helgesen,,D,CAN,6′ 3,179,Calgary,WHL
7,188 NA,188,MIN,Louis Nanne,,LW,USA,5′ 10,178,Edina High,HIGH-MN
7,143 NA,189,CAR,Brendan Collier,,LW,USA,5′ 9,168,Malden Catholic,HIGH-MA
7,26 NA-G,190,WPG,Jamie Phillips,,G,CAN,6′ 1,170,Toronto JC,OJHL
7,2 NA-G,191,CHI,Brandon Whitney,,G,CAN,6′ 5,193,Victoriaville,QMJHL
7,NR,192,COL,Colin Smith,,C,CAN,5′ 10,162,Kamloops,WHL
7,NR,193,BUF,Brady Austin,,D,CAN,6′ 3,234,Belleville,OHL
7,NR,194,FLA,Jonatan Nielsen,,D,SWE,6′ 3,183,Linkoping Jr.,SWE-JR.
7,18 EUR,195,WSH,Christian Djoos,,D,SWE,5′ 11,158,Brynas Jr.,SWE-JR.
7,23 EUR,196,OTT,Mikael Wikstrand,,D,SWE,6′ 1,183,Mora,SWEDEN-2
7,135 NA,197,WSH,Jaynen Rissling,,D,CAN,6′ 4,223,Calgary,WHL
7,NR,198,SJS,Joakim Ryan,,D,USA,5′ 10,182,Cornell U.,ECAC
7,10 NA-G,199,CHI,Matt Tomkins,,G,CAN,6′ 2,176,Sherwood Park,AJHL
7,NR,200,DET,Rasmus Bodin,,LW,SWE,6′ 6,207,Ostersunds,SWEDEN
7,16 NA,201,PHI,Valeri Vasiliev,,D,RUS,6′ 1,203,Spartak 2,RUSSIA-JR.
7,20 NA,202,TBL,Nikita Gusev,,LW,RUS,5′ 9,163,CSKA 2,RUSSIA-JR.
7,NR,203,WSH,Sergey Kostenko,,G,RUS,5′ 11,187,Novokuznetsk 2,RUSSIA-JR.
7,NR,204,BUF,Judd Peterson,,C/RW,USA,5′ 11,194,Duluth Marshall,HIGH-MN
7,NR,205,BOS,Colton Hargrove,,LW,USA,6′ 1,215,Fargo,USHL
7,104 NA,206,STL,Tyrel Seaman,,C,CAN,6′ 2,196,Brandon,WHL
7,108 NA,207,VAN,Matthew Beattie,,LW,USA,6′ 3,173,Phillips-Exeter,HIGH-NH
7,152 NA,208,PHX,Justin Hache,,D,CAN,6′ 1,188,Shawinigan,QMJHL
7,NR,209,TOR,Viktor Loov,,D,SWE,6′ 1,187,Sodertalje,SWEDEN-2
7,NR,210,ANA,Jaycob Megna,,D,USA,6′ 4,202,Nebraska-Omaha,WCHA
7,96 NA,211,LAK,Nick Ebert,,D,USA,6′ 0,203,Windsor,OHL
