,Round 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Overall,Team,Player,Nat.,Pos,Age,To,Junior Team,League,GP,G,A,PTS,+/-,PIM,Height,Weight,D-1_League,D-1_GP,D-1_G,D-1_A,D-1_TP,D-1_P/G,D-1_PIM,D-1_+/-,D0_GP,D0_G,D0_A,D0_TP,D0_P/G,D0_PIM,D0_+/-,NHLe
96,New York Islanders,Matt Donovan,US,D,18,2019,Cedar Rapids Roughriders ,USHL,69,2,18,20,-8,28,6′ 0,195,N/A,0,0,0,0,0,0,0,59,12,18,30,0.51,41,19,2.67648
97,Boston Bruins,Jamie Arniel,CA,C,18,2011,Sarnia Sting ,OHL,1,0,0,0,-1,0,5′ 11,183,OHL,68,31,31,62,0.91,51,7,60,27,20,47,0.78,38,12,4.09344
98,Toronto Maple Leafs,Mikhail Stefanovich,BY,Centr,18,,Quebec Remparts ,QMJHL,,,,,,,6′ 2,202,Belarus,40,16,9,25,0.63,43,0,62,32,34,66,1.06,32,0,5.56288
99,Phoenix Coyotes,Colin Long,US,C,19,,Kelowna Rockets ,WHL,,,,,,,5′ 11,187,WHL,69,11,17,28,0.41,38,29,72,31,69,100,1.39,41,22,7.29472
100,Florida Panthers,A.J. Jenks,US,LW,18,,Plymouth Whalers ,OHL,,,,,,,6′ 2,206,OHL,68,9,14,23,0.34,50,4,68,26,29,55,0.81,94,13,4.25088
101,Buffalo Sabres,Justin Jokinen,US,RW,18,,Cloquet HS ,High-MN,,,,,,,6′ 2,165,USHS-MN,24,26,25,51,2.13,18,0,25,21,18,39,1.56,58,0,8.18688
102,New York Islanders,David Ullstrom,SE,C,19,2013,HV71 Jr. ,Sweden Jr.,49,6,7,13,-4,12,6′ 2,194,Sweden Jr.,39,16,14,30,0.77,30,0,40,27,27,54,1.35,86,0,7.0848
103,Edmonton Oilers,Johan Motin,SE,D,18,2010,Farjestad BK ,Sweden,1,0,0,0,-1,0,6′ 2,220,Sweden,22,0,4,4,0.18,8,4,28,0,2,2,0.07,10,10,0.36736
104,Buffalo Sabres,Jordon Southorn,CA,D,18,,Prince Edward Island Rocket ,QMJHL,,,,,,,6′ 2,185,QMJHL,58,5,5,10,0.17,76,1,69,12,19,31,0.45,70,10,2.3616
105,Carolina Hurricanes,Michal Jordan,CZ,D,18,2016,Plymouth Whalers ,OHL,79,3,4,7,-14,18,6′ 1,186,Czech U20,40,7,11,18,0.45,20,8,61,6,22,28,0.46,44,2,2.41408
107,Columbus Blue Jackets,Steven Delisle,CA,D,18,,Gatineau Olympiques ,QMJHL,,,,,,,6′ 6,209,QMJHL,56,1,11,12,0.21,47,7,70,6,23,29,0.41,89,8,2.15168
108,Calgary Flames,Nicholas Larson,US,LW,18,,Waterloo Black Hawks ,USHL,,,,,,,6′ 1,182,USHS-MN,25,30,30,60,2.4,0,0,57,19,19,38,0.67,66,0,3.51616
109,Ottawa Senators,Andre Petersson,SE,RW,18,2012,HV71 Jr. ,Sweden Jr.,1,0,0,0,0,0,5′ 9,169,J18 Allsvensken,10,14,10,24,2.4,6,0,36,16,22,38,1.06,34,0,5.56288
110,Colorado Avalanche,Kelsey Tessier,CA,C,18,,Quebec Remparts ,QMJHL,,,,,,,5′ 9,168,QMJHL,63,23,27,50,0.79,40,3,68,36,45,81,1.19,73,19,6.24512
111,New York Rangers,Dale Weise,CA,RW,20,2020,Swift Current Broncos ,WHL,513,55,70,125,6,355,6′ 2,210,WHL,67,18,25,43,0.64,94,14,53,29,22,51,0.96,84,8,5.03808
112,New Jersey Devils,Matt Delahey,CA,D,18,,Regina Pats ,WHL,,,,,,,6′ 1,210,WHL,60,1,5,6,0.1,42,3,68,3,16,19,0.28,68,7,1.46944
113,Anaheim Ducks,Ryan Hegarty,US,D,18,,USA U-18 Development Team ,USDP/NAHL,,,,,,,6′ 0,196,USDP/NAHL,43,1,2,3,0.07,54,0,41,5,8,13,0.32,38,0,1.67936
114,Calgary Flames,T.J. Brodie,CA,D,18,2023,Saginaw Spirit ,OHL,787,53,257,310,57,244,6′ 1,182,OHL,20,0,4,4,0.2,23,7,68,4,26,30,0.44,73,2,2.30912
115,Minnesota Wild,Sean Lorenz,CA,D,18,,USA U-18 Development Team ,USDP/NAHL,,,,,,,6′ 1,191,USDP/NAHL,45,1,7,8,0.18,26,0,43,2,4,6,0.14,20,0,0.73472
117,Tampa Bay Lightning,James Wright,CA,C,18,2014,Vancouver Giants ,WHL,146,4,8,12,-19,64,6′ 4,200,WHL,48,5,7,12,0.25,31,10,60,13,23,36,0.6,21,4,3.1488
