,Round 1,,,,,,,,NHL Scoring Stats,,,,,,,,,,,,,,,,,,,,,,
Overall,Team,Player,Nat.,Pos,Age,To,Junior Team,League,GP,G,A,PTS,+/-,PIM,Height,Weight,D-1_League,D-1_GP,D-1_G,D-1_A,D-1_TP,D-1_P/G,D-1_PIM,D-1_+/-,D0_GP,D0_G,D0_A,D0_TP,D0_P/G,D0_PIM,D0_+/-
115,Vancouver Canucks,Patrick McNally,US,D,18,,Milton Academy ,High-MA,,,,,,,6′ 2,180,MJHL,41,18,36,54,1.32,58,0,28,14,21,35,1.25,0,0
116,Toronto Maple Leafs,Petter Granberg,SE,D,18,2017,Skelleftea AIK Jr. ,Sweden Jr.,45,0,2,2,2,29,6′ 2.5,200,J18-Elit,18,0,6,6,0.33,14,0,40,2,7,9,0.23,39,0
117,Montreal Canadiens,Morgan Ellis,CA,D,18,2016,Cape Breton Screaming Eagles ,QMJHL,3,0,0,0,0,2,6′ 1,197,QMJHL,52,0,6,6,0.12,45,9,60,4,25,29,0.48,56,17
118,Tampa Bay Lightning,Jimmy Mullin,US,RW,18,,Shattuck-St. Mary's School ,High-MN,,,,,,,5′ 10,152,USHS-Prep,53,62,44,106,2.00,0,0,55,32,40,72,1.31,26,0
119,Philadelphia Flyers,Tye McGinn,CA,LW,20,2016,Gatineau Olympiques ,QMJHL,89,9,8,17,-1,44,6′ 2,205,QMJHL,48,8,22,30,0.63,25,2,50,27,35,62,1.24,50,15
120,Chicago Blackhawks,Rob Flick,CA,C,19,,Mississauga St. Michael's Majors ,OHL,,,,,,,6′ 2,205,OHL,48,4,4,8,0.17,69,1,65,15,19,34,0.52,157,2
122,Anaheim Ducks,Chris Wagner,US,C,19,2022,South Shore ,EJHL,359,37,26,63,-27,195,6′ 2,182,EJHL,38,20,14,34,0.89,72,0,44,34,49,83,1.89,70,0
123,Florida Panthers,Zach Hyman,CA,C,18,2023,Hamilton ,OJHL,441,122,136,258,60,247,6′ 0,182,OPJHL,49,13,24,37,0.76,24,0,49,35,40,75,1.53,30,17
124,Columbus Blue Jackets,Austin Madaisky,CA,D,18,,Kamloops Blazers ,WHL,,,,,,,6′ 2,186,WHL,48,2,7,9,0.19,16,5,65,7,20,27,0.42,74,4
125,New York Islanders,Tony Dehart,US,D,20,,Oshawa Generals ,OHL,,,,,,,6′ 2,187,OHL,63,7,20,27,0.43,76,6,68,10,40,50,0.74,82,23
126,Nashville Predators,Patrick Cehlin,SE,RW,19,,Djurgardens IF ,Sweden,,,,,,,5′ 11,176,Sweden Jr.,36,10,25,35,0.97,110,0,54,5,6,11,0.2,10,9
127,San Jose Sharks,Cody Ferriero,US,C,18,,Governor's Academy ,High-MA,,,,,,,5′ 11,190,USHS-Prep,27,10,10,20,0.74,87,0,27,21,19,40,1.48,112,0
129,San Jose Sharks,Freddie Hamilton,CA,C,18,2018,Niagara IceDogs ,OHL,75,4,2,6,-9,12,6′ 1,187,OHL,65,10,18,28,0.43,8,11,64,25,30,55,0.86,12,6
130,New York Rangers,Jason Wilson,CA,LW,20,,Owen Sound Attack ,OHL,,,,,,,6′ 2,205,OHL,52,12,5,17,0.33,104,7,46,17,18,35,0.76,101,11
131,Dallas Stars,John Klingberg,SE,D,18,2023,Frolunda HC Jr. ,Sweden Jr.,572,72,310,382,-20,223,6′ 0,158,J18-Elit,16,3,8,11,0.69,8,0,27,0,5,5,0.19,32,0
132,Anaheim Ducks,Tim Heed,SE,D,19,2020,Sodertalje SK ,Sweden,105,6,23,29,-1,20,5′ 11,165,Sweden Jr.,32,1,7,8,0.25,10,0,27,1,9,10,0.37,2,8
133,Calgary Flames,Micheal Ferland,CA,LW,18,2020,Brandon Wheat Kings ,WHL,335,60,74,134,0,200,6′ 0,195,MMHL,44,45,40,85,1.93,52,0,61,9,19,28,0.46,85,16
134,St. Louis Blues,Cody Beach,CA,RW,18,,Calgary Hitmen ,WHL,,,,,,,6′ 5,180,BCEHL U18,23,10,13,23,1.00,58,0,51,3,11,14,0.27,157,6
135,Boston Bruins,Justin Florek,US,LW,20,2014,Northern Michigan ,CCHA,4,1,1,2,1,0,6′ 4,194,NCAA,40,9,8,17,0.43,6,15,41,12,23,35,0.85,22,12
136,San Jose Sharks,Isaac MacLeod,CA,D,18,,Pentiction ,BCHL,,,,,,,6′ 4,205,KIJHL,45,3,16,19,0.42,68,0,56,0,23,23,0.41,51,0
137,Colorado Avalanche,Troy Rutkowski,CA,D,18,,Portland Winterhawks ,WHL,,,,,,,6′ 1.5,208,WHL,64,6,9,15,0.23,34,22,71,12,31,43,0.61,70,13
