,Round 1,,,,,,,NHL Scoring Stats,,,,,,,,,,,,,,,,,,,,,,,
Overall,Team,Player,Nat.,Pos,Age,To,Junior Team,League,GP,G,A,PTS,+/-,PIM,Height,Weight,D-1_League,D-1_GP,D-1_G,D-1_A,D-1_TP,D-1_P/G,D-1_PIM,D-1_+/-,D0_GP,D0_G,D0_A,D0_TP,D0_P/G,D0_PIM,D0_+/-
47,San Jose Sharks,Matthew Nieto,US,LW,18,2023,Boston University ,H-East,592,77,106,183,-52,111,5′ 11,177,USDP/NAHL,57,29,26,55,0.96,31,2,39,10,13,23,0.59,16,1
48,Detroit Red Wings,Xavier Ouellet,FR,D,18,2021,Montreal Juniors ,QMJHL,178,5,23,28,-3,82,6′ 0,179,QMJHL,43,2,14,16,0.37,22,4,67,8,35,43,0.64,44,27
50,New York Islanders,Johan Sundstrom,SE,C,18,2014,Frolunda HC ,Sweden,11,0,1,1,0,6,6′ 2,196,Sweden Jr.,37,13,17,30,0.81,14,0,41,1,0,1,0.02,10,7
51,Phoenix Coyotes,Alexander Ruuttu,US,C,18,,Jokerit Jr. ,Finland Jr.,,,,,,,6′ 0,171,U18-SM Sarja,24,8,14,22,0.92,26,0,41,18,13,31,0.76,14,10
52,Nashville Predators,Miikka Salomaki,FI,RW,18,2020,Karpat ,Finland,167,12,15,27,-2,76,5′ 11,198,Finland Jr.,37,18,25,43,1.16,93,5,40,4,6,10,0.25,53,2
53,Anaheim Ducks,William Karlsson,SE,C,18,2023,VIK Hockey Ungdom Jr. ,Sweden Jr.,554,131,187,318,89,76,6′ 0,163,J18-Elit,22,10,13,23,1.05,33,0,38,20,34,54,1.42,45,0
54,Pittsburgh Penguins,Scott Harrington,CA,D,18,2023,London Knights ,OHL,212,7,32,39,-10,77,6′ 1,200,OHL,55,1,13,14,0.25,20,25,67,6,16,22,0.33,51,14
55,Detroit Red Wings,Ryan Sproul,CA,D,18,2018,Soo Greyhounds ,OHL,44,2,10,12,-14,12,6′ 3,185,OPJHL,15,1,2,3,0.20,6,0,61,14,19,33,0.54,36,15
56,Phoenix Coyotes,Lucas Lessio,CA,LW,18,2016,Oshawa Generals ,OHL,41,3,4,7,-11,12,6′ 1,200,OPJHL,41,30,42,72,1.76,87,0,66,27,27,54,0.82,66,8
57,Calgary Flames,Tyler Wotherspoon,CA,D,18,2017,Portland Winterhawks ,WHL,30,0,5,5,-8,4,6′ 1,196,WHL,43,1,4,5,0.12,21,15,64,2,10,12,0.19,73,0
58,Tampa Bay Lightning,Nikita Kucherov,RU,LW,18,2023,Krasnaya Armiya Moskva ,Russia Jr.,581,256,388,644,128,299,5′ 11,171,Russia-3,53,29,25,54,1.02,40,23,41,27,31,58,1.41,81,42
59,Florida Panthers,Rasmus Bengtsson,SE,D,18,,Rogle BK ,Sweden-2,,,,,,,6′ 2,192,Sweden Jr.,42,3,20,23,0.55,14,12,45,2,7,9,0.2,6,8
